Date,Code,Name,ForeignNet,TrustNet,DealerNet,Total
2026-07-22,1101,台泥,-2953783,-26000,-497258,-3477041
2026-07-22,1102,亞泥,1566337,191207,-652255,1105289
2026-07-22,1103,嘉泥,-100000,0,-33000,-133000
2026-07-22,1104,環泥,-458000,0,-111116,-569116
2026-07-22,1108,幸福,-129277,0,-5000,-134277
2026-07-22,1109,信大,-33000,0,-11028,-44028
2026-07-22,1110,東泥,-1000,0,-8000,-9000
2026-07-22,1201,味全,-93312,0,-26000,-119312
2026-07-22,1203,味王,0,0,-4000,-4000
2026-07-22,1210,大成,-457382,0,264983,-192399
2026-07-22,1215,卜蜂,-146000,0,-14951,-160951
2026-07-22,1216,統一,-13799365,4687376,-332231,-9444220
2026-07-22,1217,愛之味,7000,0,-39000,-32000
2026-07-22,1218,泰山,-142000,0,-90000,-232000
2026-07-22,1219,福壽,-145000,0,-50000,-195000
2026-07-22,1220,台榮,-15000,0,-1000,-16000
2026-07-22,1225,福懋油,-27001,0,-8000,-35001
2026-07-22,1227,佳格,-1001000,0,-33433,-1034433
2026-07-22,1229,聯華,-1296649,4000,-100348,-1392997
2026-07-22,1231,聯華食,-102000,0,-13777,-115777
2026-07-22,1232,大統益,-80000,0,-2632,-82632
2026-07-22,1233,天仁,-2000,0,-3000,-5000
2026-07-22,1234,黑松,-39000,0,-20590,-59590
2026-07-22,1235,興泰,-2000,0,-5000,-7000
2026-07-22,1236,宏亞,0,0,-5390,-5390
2026-07-22,1256,鮮活果汁-KY,-19053,0,-2000,-21053
2026-07-22,1301,台塑,10118099,330000,-410076,10038023
2026-07-22,1303,南亞,-1724049,3266388,-130899,1411440
2026-07-22,1304,台聚,1498633,0,423496,1922129
2026-07-22,1305,華夏,547000,0,-61244,485756
2026-07-22,1307,三芳,212000,-20029,-462,191509
2026-07-22,1308,亞聚,577004,0,-9952,567052
2026-07-22,1309,台達化,889000,0,-9284,879716
2026-07-22,1310,台苯,284000,0,919,284919
2026-07-22,1312,國喬,3835183,0,-152227,3682956
2026-07-22,1313,聯成,1174000,0,-38502,1135498
2026-07-22,1314,中石化,-6855450,0,-347304,-7202754
2026-07-22,1315,達新,0,0,-7000,-7000
2026-07-22,1316,上曜,542000,0,-3000,539000
2026-07-22,1319,東陽,-291197,-418213,-42299,-751709
2026-07-22,1321,大洋,-25000,0,-9007,-34007
2026-07-22,1323,永裕,-7000,0,-1000,-8000
2026-07-22,1324,地球,9000,0,-2000,7000
2026-07-22,1325,恆大,155950,0,-1000,154950
