Date,ForeignBuy,ForeignSell,ForeignNet,TrustBuy,TrustSell,TrustNet,DealerBuy,DealerSell,DealerNet,TotalBuy,TotalSell,TotalNet
2026-07-14,455458836889,507351649396,-51892812507,33009561957,22008000701,11001561256,71176604239,109467750501,-38291146262,559645003085,638827400598,-79182397513
2026-07-15,395092885421,396508274193,-1415388772,34153100061,21616812315,12536287746,56377204013,46251100366,10126103647,485623189495,464376186874,21247002621
2026-07-16,346579091328,394914062107,-48334970779,31857155928,23212024077,8645131851,41985360979,45342966708,-3357605729,420421608235,463469052892,-43047444657
2026-07-17,385927022528,574241571585,-188314549057,40886137943,33538772856,7347365087,75708869345,157888363511,-82179494166,502522029816,765668707952,-263146678136
2026-07-20,467832013383,473915691059,-6083677676,38851814844,22530017915,16321796929,65531778868,73596222357,-8064443489,572215607095,570041931331,2173675764
2026-07-21,351767701476,356099564323,-4331862847,39169378897,22055447754,17113931143,39213487962,35706092774,3507395188,430150568335,413861104851,16289463484
2026-07-22,410168282425,392824289824,17343992601,38853210565,19950318419,18902892146,42932080081,45330075238,-2397995157,491953573071,458104683481,33848889590
2026-07-23,366288595333,359330682058,6957913275,28432469923,21062435387,7370034536,38258479205,34064574437,4193904768,432979544461,414457691882,18521852579
2026-07-24,286540655179,347491144474,-60950489295,23280878805,18517387543,4763491262,35131955143,46283450176,-11151495033,344953489127,412291982193,-67338493066
2026-07-27,335083906835,327043656977,8040249858,16503507205,16022239128,481268077,35377121907,43234106331,-7856984424,386964535947,386300002436,664533511
2026-07-28,292449576695,379934201994,-87484625299,21949096286,20337276393,1611819893,57985770445,89715503957,-31729733512,372384443426,489986982344,-117602538918
2026-07-29,468574991377,490826849928,-22251858551,23571309411,17865657180,5705652231,81147591149,99746605580,-18599014431,573293891937,608439112688,-35145220751
2026-07-30,498508673701,546820493376,-48311819675,28295129492,14297716759,13997412733,54270931785,69497465578,-15226533793,581074734978,630615675713,-49540940735
2026-07-31,401328253700,333774428539,67553825161,40543869582,4523759339,36020110243,56905685680,73165210270,-16259524590,498777808962,411463398148,87314410814
2026-08-03,351436807764,370627723398,-19190915634,35468123234,12143442661,23324680573,38433233530,59086605872,-20653372342,425338164528,441857771931,-16519607403
2026-08-04,447661494099,453393026925,-5731532826,47011577882,19846417822,27165160060,41448706837,60877443546,-19428736709,536121778818,534116888293,2004890525
2026-08-05,494583745248,404275419424,90308325824,29023770430,17757627974,11266142456,54213675283,52757008141,1456667142,577821190961,474790055539,103031135422
2026-08-06,392402699900,390382881760,2019818140,23857074616,14448687992,9408386624,35687264798,42000083385,-6312818587,451947039314,446831653137,5115386177
2026-08-07,310339947885,351055691675,-40715743790,16799691936,18001413338,-1201721402,34282127689,35250199563,-968071874,361421767510,404307304576,-42885537066
2026-08-10,330578332956,278837817824,51740515132,18267000126,14865930705,3401069421,46102677719,27634523374,18468154345,394948010801,321338271903,73609738898
2026-08-11,355022942702,332694259407,22328683295,17374366535,14150298802,3224067733,34105399297,31645259695,2460139602,406502708534,378489817904,28012890630
2026-08-12,319565035470,308544223476,11020811994,21174869805,18898597106,2276272699,40622463676,31921794941,8700668735,381362368951,359364615523,21997753428
2026-08-13,435459348263,359764831688,75694516575,28305817016,29807555301,-1501738285,55757735735,40696984330,15060751405,519522901014,430269371319,89253529695
2026-08-14,432487254209,387135923788,45351330421,29633900919,21661301037,7972599882,49150683003,50811871112,-1661188109,511271838131,459609095937,51662742194
2026-08-17,369663152041,324215867015,45447285026,26085051545,43861902730,-17776851185,47169964894,45764661978,1405302916,442918168480,413842431723,29075736757
2026-08-18,380715904831,392701716251,-11985811420,41073706700,37246569093,3827137607,33888458032,51495600533,-17607142501,455678069563,481443885877,-25765816314
2026-08-19,349684933557,391324377517,-41639443960,20276229916,36877173315,-16600943399,37928331289,55046623791,-17118292502,407889494762,483248174623,-75358679861
2026-08-21,307611669267,279306248282,28305420985,9164654881,7286889552,1877765329,32289468549,29366900898,2922567651,349065792697,315960038732,33105753965
2026-08-24,239969265026,255705396353,-15736131327,14658074448,11603257854,3054816594,23977093550,28309685732,-4332592182,278604433024,295618339939,-17013906915
2026-08-25,291974314493,292760897752,-786583259,14558693519,18542670582,-3983977063,32175040665,32115012543,60028122,338708048677,343418580877,-4710532200
