Date,Code,Name,MarginBalance,MarginChange,ShortBalance
2026-07-13,1101,台泥,36815,-13,13
2026-07-13,1102,亞泥,1092,30,0
2026-07-13,1103,嘉泥,4165,-22,0
2026-07-13,1104,環泥,1559,7,0
2026-07-13,1108,幸福,345,4,0
2026-07-13,1109,信大,285,2,0
2026-07-13,1110,東泥,2875,-16,0
2026-07-13,1201,味全,1659,0,0
2026-07-13,1203,味王,1,0,0
2026-07-13,1210,大成,669,-12,5
2026-07-13,1213,大飲,0,0,0
2026-07-13,1215,卜蜂,362,3,1
2026-07-13,1216,統一,564,-33,12
2026-07-13,1217,愛之味,864,20,0
2026-07-13,1218,泰山,1474,-45,150
2026-07-13,1219,福壽,557,-47,5
2026-07-13,1220,台榮,953,5,0
2026-07-13,1225,福懋油,6943,-1,4
2026-07-13,1227,佳格,882,-1,0
2026-07-13,1229,聯華,2957,-13,12
2026-07-13,1231,聯華食,265,0,0
2026-07-13,1232,大統益,78,53,0
2026-07-13,1233,天仁,19,0,0
2026-07-13,1234,黑松,15,0,0
2026-07-13,1235,興泰,1186,1,0
2026-07-13,1236,宏亞,227,19,0
2026-07-13,1256,鮮活果汁-KY,348,-11,24
2026-07-13,1301,台塑,26443,1651,276
2026-07-13,1303,南亞,39744,2750,848
2026-07-13,1304,台聚,12859,-122,189
2026-07-13,1305,華夏,7585,-64,10
2026-07-13,1307,三芳,1356,23,5
2026-07-13,1308,亞聚,7783,79,19
2026-07-13,1309,台達化,8355,-27,93
2026-07-13,1310,台苯,14699,-114,169
2026-07-13,1312,國喬,22775,1253,5285
2026-07-13,1313,聯成,10912,-255,149
2026-07-13,1314,中石化,78910,1300,513
2026-07-13,1315,達新,27,0,0
2026-07-13,1316,上曜,10906,7,18
2026-07-13,1319,東陽,6985,103,2
2026-07-13,1321,大洋,7247,-36,0
2026-07-13,1323,永裕,84,0,0
2026-07-13,1324,地球,1367,-11,0
2026-07-13,1325,恆大,2024,1,10
2026-07-13,1326,台化,37213,6609,397
2026-07-13,1337,再生-KY,21379,7,0
2026-07-13,1338,廣華-KY,3861,13,0
2026-07-13,1339,昭輝,860,-2,0
2026-07-13,1340,勝悅-KY,1021,15,0
2026-07-13,1342,八貫,664,45,0
2026-07-13,1402,遠東新,8408,-289,0
2026-07-13,1409,新纖,25368,-893,81
2026-07-13,1410,南染,311,-11,0
2026-07-13,1413,宏洲,0,0,0
2026-07-13,1414,東和,1255,54,0
2026-07-13,1416,廣豐,3349,-11,0
2026-07-13,1417,嘉裕,1800,12,0
2026-07-13,1418,東華,757,-4,0
2026-07-13,1419,新紡,1252,3,0
2026-07-13,1423,利華,88,-10,0
2026-07-13,1432,大魯閣,142,0,38
2026-07-13,1434,福懋,6310,203,0
2026-07-13,1435,中福,0,0,0
2026-07-13,1436,華友聯,1003,10,5
2026-07-13,1437,勤益控,2063,58,0
2026-07-13,1438,三地開發,183,0,0
2026-07-13,1439,雋揚,1060,11,0
2026-07-13,1440,南紡,5675,165,0
2026-07-13,1441,大東,0,0,0
2026-07-13,1442,名軒,2985,27,8
2026-07-13,1443,立益物流,31,0,0
2026-07-13,1444,力麗,573,0,0
2026-07-13,1445,大宇,1406,7,1
2026-07-13,1446,宏和,1688,70,33
2026-07-13,1447,力鵬,986,0,0
2026-07-13,1449,佳和,3183,7,0
2026-07-13,1451,年興,692,53,0
2026-07-13,1452,宏益,105,0,0
2026-07-13,1453,大將,1054,-13,0
2026-07-13,1454,台富,2177,0,0
2026-07-13,1455,集盛,3799,73,2
2026-07-13,1456,怡華,820,2,0
2026-07-13,1457,宜進,722,0,1
2026-07-13,1459,聯發,491,6,0
2026-07-13,1460,宏遠,0,0,0
2026-07-13,1463,強盛新,490,2,0
2026-07-13,1464,得力,2021,21,0
2026-07-13,1465,偉全,3292,-32,0
2026-07-13,1466,聚隆,3069,-27,13
2026-07-13,1467,南緯,6341,42,6
2026-07-13,1468,昶和,0,0,0
2026-07-13,1470,大統新創,6,0,0
2026-07-13,1471,首利,0,0,0
2026-07-13,1472,三洋實業,3902,1,2
2026-07-13,1473,台南,856,3,0
2026-07-13,1474,弘裕,3375,4,0
2026-07-13,1475,業旺,451,3,0
2026-07-13,1476,儒鴻,935,9,15
2026-07-13,1477,聚陽,1690,-23,4
2026-07-13,1503,士電,3424,-6,33
2026-07-13,1504,東元,32682,-15,76
2026-07-13,1506,正道,0,0,0
2026-07-13,1512,瑞利,0,0,0
2026-07-13,1513,中興電,8506,-39,45
2026-07-13,1514,亞力,6729,32,128
2026-07-13,1515,力山,3193,-173,163
2026-07-13,1516,川飛,2,0,0
2026-07-13,1517,利奇,1666,-18,0
2026-07-13,1519,華城,3908,11,20
2026-07-13,1521,大億,441,1,0
2026-07-13,1522,堤維西,4411,-24,0
2026-07-13,1524,耿鼎,4501,-123,19
2026-07-13,1525,江申,234,-1,0
2026-07-13,1526,日馳,587,5,0
2026-07-13,1527,鑽全,605,5,0
2026-07-13,1528,恩德,7531,36,78
2026-07-13,1529,樂事綠能,2978,19,0
2026-07-13,1530,亞崴,300,3,0
2026-07-13,1531,高林股,1734,-8,1
2026-07-13,1532,勤美,2796,38,0
2026-07-13,1533,車王電,524,-46,9
2026-07-13,1535,中宇,66,1,0
2026-07-13,1536,和大,8720,-779,388
2026-07-13,1537,廣隆,59,0,0
2026-07-13,1538,正峰,0,0,0
2026-07-13,1539,巨庭,1316,1,0
2026-07-13,1540,喬福,1725,2,1
2026-07-13,1541,錩泰,120,3,0
2026-07-13,1558,伸興,257,0,0
2026-07-13,1560,中砂,1526,-2,0
2026-07-13,1563,巧新,6863,-30,0
2026-07-13,1568,倉佑,5034,-137,1
2026-07-13,1582,信錦,4768,-26,11
2026-07-13,1583,程泰,81,-3,0
2026-07-13,1587,吉茂,2035,-7,5
2026-07-13,1589,永冠-KY,795,-7,0
2026-07-13,1590,亞德客-KY,126,-8,0
2026-07-13,1597,直得,3979,17,36
2026-07-13,1598,岱宇,2144,-14,0
2026-07-13,1603,華電,2117,12,0
2026-07-13,1604,聲寶,248,-19,0
2026-07-13,1605,華新,57912,-330,582
2026-07-13,1608,華榮,8344,181,4
2026-07-13,1609,大亞,14028,29,40
2026-07-13,1611,中電,3327,3,5
2026-07-13,1612,宏泰,1885,1,2
2026-07-13,1614,三洋電,358,0,0
2026-07-13,1615,大山,169,-16,0
2026-07-13,1616,億泰,3243,-4,1
2026-07-13,1617,榮星,2845,90,5
2026-07-13,1618,合機,3780,-56,8
2026-07-13,1626,艾美特-KY,1673,-9,0
2026-07-13,1702,南僑,319,0,0
2026-07-13,1707,葡萄王,356,8,0
2026-07-13,1708,東鹼,7824,183,164
2026-07-13,1709,和益,10245,3156,19
2026-07-13,1710,東聯,9151,375,92
2026-07-13,1711,永光,21129,15,150
2026-07-13,1712,興農,459,-2,0
2026-07-13,1713,國化,2984,35,2
2026-07-13,1714,和桐,19672,316,393
2026-07-13,1717,長興,22676,-145,195
2026-07-13,1718,中纖,18863,-563,3651
2026-07-13,1720,生達,342,7,0
2026-07-13,1721,三晃,127,0,0
2026-07-13,1722,台肥,2656,-175,0
2026-07-13,1723,中碳,649,-90,2
2026-07-13,1725,元禎,301,-12,0
2026-07-13,1726,永記,29,0,0
2026-07-13,1727,中華化,8744,-329,52
2026-07-13,1730,花仙子,8,-9,0
2026-07-13,1731,美吾華,314,-1,0
2026-07-13,1732,毛寶,599,1,0
2026-07-13,1733,五鼎,2630,38,1
2026-07-13,1734,杏輝,553,-1,0
2026-07-13,1735,日勝化,815,6,0
2026-07-13,1736,喬山,1984,8,3
2026-07-13,1737,臺鹽,22,0,0
2026-07-13,1752,南光,332,0,0
2026-07-13,1760,寶齡富錦,1088,-6,5
2026-07-13,1762,中化生,687,-8,2
2026-07-13,1773,勝一,1311,23,1
2026-07-13,1776,展宇,839,-10,1
2026-07-13,1783,和康生,595,-14,0
2026-07-13,1786,科妍,5128,16,1
2026-07-13,1789,神隆,3536,-30,1
2026-07-13,1795,美時,8876,-58,60
2026-07-13,1802,台玻,53043,763,1463
2026-07-13,1805,寶徠,1413,5,0
2026-07-13,1806,冠軍,3088,-5,0
2026-07-13,1808,潤隆,5840,-24,3
2026-07-13,1809,中釉,7608,14,163
2026-07-13,1810,和成,22709,825,245
2026-07-13,1817,凱撒衛,17,0,0
2026-07-13,1903,士紙,2618,-7,0
2026-07-13,1904,正隆,5068,159,22
2026-07-13,1905,華紙,10927,-100,457
2026-07-13,1906,寶隆,7310,-22,1
2026-07-13,1907,永豐餘,24300,-14,1
2026-07-13,1909,榮成,9291,633,43
2026-07-13,2002,中鋼,47183,-108,640
2026-07-13,2006,東和鋼鐵,1110,-23,0
2026-07-13,2007,燁興,5,0,0
2026-07-13,2008,高興昌,127,-2,0
2026-07-13,2009,第一銅,6899,4,5
2026-07-13,2010,春源,2159,-3,21
2026-07-13,2012,春雨,193,0,0
2026-07-13,2013,中鋼構,1440,2,3
2026-07-13,2014,中鴻,1850,0,0
2026-07-13,2015,豐興,39,0,0
2026-07-13,2017,官田鋼,8340,-19,0
2026-07-13,2020,美亞,816,-3,0
2026-07-13,2022,聚亨,1059,41,1
2026-07-13,2023,燁輝,2476,-181,23
2026-07-13,2024,志聯,67,0,0
2026-07-13,2025,千興,0,0,0
2026-07-13,2027,大成鋼,28841,-967,0
2026-07-13,2028,威致,1217,12,0
2026-07-13,2029,盛餘,412,-15,0
2026-07-13,2030,彰源,4160,0,1
2026-07-13,2031,新光鋼,1025,-28,7
2026-07-13,2032,新鋼,2642,-1,0
2026-07-13,2033,佳大,2735,-10,0
2026-07-13,2034,允強,4064,-96,0
2026-07-13,2038,海光,4045,1,0
2026-07-13,2049,上銀,3693,-20,21
2026-07-13,2059,川湖,491,20,0
2026-07-13,2062,橋椿,1398,-6,2
2026-07-13,2069,運錩,570,-11,0
2026-07-13,2101,南港,23106,-68,15
2026-07-13,2102,泰豐,3889,-3,0
2026-07-13,2103,台橡,15730,-113,121
2026-07-13,2104,國際中橡,20462,-258,58
2026-07-13,2105,正新,9140,-207,12
2026-07-13,2106,建大,2926,-63,0
2026-07-13,2107,厚生,105,1,0
2026-07-13,2108,南帝,2879,-14,36
2026-07-13,2109,華豐,666,-2,0
2026-07-13,2114,鑫永銓,8,-2,0
2026-07-13,2115,六暉-KY,558,10,3
2026-07-13,2201,裕隆,10399,112,4
2026-07-13,2204,中華,1124,9,4
2026-07-13,2206,三陽工業,4579,-27,4
2026-07-13,2207,和泰車,82,-3,0
2026-07-13,2208,台船,0,0,0
2026-07-13,2211,長榮鋼,420,7,0
2026-07-13,2228,劍麟,1782,0,0
2026-07-13,2231,為升,3095,13,772
2026-07-13,2233,宇隆,5887,-132,23
2026-07-13,2236,百達-KY,11380,-15,37
2026-07-13,2239,英利-KY,1496,-24,0
2026-07-13,2241,艾姆勒,8136,-186,54
2026-07-13,2243,宏旭-KY,1352,47,7
2026-07-13,2247,汎德永業,136,-1,0
2026-07-13,2248,華勝-KY,326,1,0
2026-07-13,2250,IKKA-KY,1346,24,2
2026-07-13,2254,巨鎧精密-創,2518,0,0
2026-07-13,2301,光寶科,17385,-495,222
2026-07-13,2302,麗正,4484,-156,22
